Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
CAMPO MOURAO;01/01/1966;0;;;;5.2;;;;
CAMPO MOURAO;02/01/1966;0;;30.6;;6.7;2.2;23.86;83.75;2.333.333
CAMPO MOURAO;02/01/1966;1200;;;18.5;;;;;
CAMPO MOURAO;03/01/1966;0;;30.3;;2;3.8;21.94;81;3.333.333
CAMPO MOURAO;03/01/1966;1200;0;;18.3;;;;;
CAMPO MOURAO;04/01/1966;0;;30.2;;7.6;3;24.3;82;3.333.333
CAMPO MOURAO;04/01/1966;1200;25.4;;18.2;;;;;
CAMPO MOURAO;05/01/1966;0;;32.3;;10.1;1.8;25.44;79.75;2.666.667
CAMPO MOURAO;05/01/1966;1200;18.4;;20.2;;;;;
CAMPO MOURAO;06/01/1966;0;;31.9;;9.9;3.7;25.72;76.5;3.666.667
CAMPO MOURAO;06/01/1966;1200;0;;21.4;;;;;
CAMPO MOURAO;07/01/1966;0;;30.3;;4.7;4.5;23.78;80.5;6.666.667
CAMPO MOURAO;07/01/1966;1200;0;;20.5;;;;;
CAMPO MOURAO;08/01/1966;0;;25.9;;1;1.2;22.44;83.75;1.333.333
CAMPO MOURAO;08/01/1966;1200;16.4;;19.1;;;;;
CAMPO MOURAO;09/01/1966;0;;26.5;;2.7;2.6;21.8;78.75;1.666.667
CAMPO MOURAO;09/01/1966;1200;0;;16.7;;;;;
CAMPO MOURAO;10/01/1966;0;;29.8;;10.2;4.2;23.54;83.75;3
CAMPO MOURAO;10/01/1966;1200;0;;17.6;;;;;
CAMPO MOURAO;11/01/1966;0;;27.2;;8;3.9;22.66;76.5;3.333.333
CAMPO MOURAO;11/01/1966;1200;0;;18.6;;;;;
CAMPO MOURAO;12/01/1966;0;;28.1;;3.5;4.6;20.62;77.25;3.333.333
CAMPO MOURAO;12/01/1966;1200;0;;16.9;;;;;
CAMPO MOURAO;13/01/1966;0;;28.6;;12.2;5.8;21.58;68;5.666.667
CAMPO MOURAO;13/01/1966;1200;0;;14.2;;;;;
CAMPO MOURAO;14/01/1966;0;;28;;10.9;6;22.18;69.25;3.333.333
CAMPO MOURAO;14/01/1966;1200;0;;14.6;;;;;
CAMPO MOURAO;15/01/1966;0;;30;;11.3;4.6;22.94;74.5;3
CAMPO MOURAO;15/01/1966;1200;0;;15;;;;;
CAMPO MOURAO;16/01/1966;0;;32.4;;1.2;4.4;24.42;71;1.666.667
CAMPO MOURAO;16/01/1966;1200;0;;15.2;;;;;
CAMPO MOURAO;17/01/1966;0;;33.2;;5.8;5.9;22.9;69.5;5
CAMPO MOURAO;17/01/1966;1200;0;;16.1;;;;;
CAMPO MOURAO;18/01/1966;0;;33.3;;9.2;5.8;25.94;75.75;3.666.667
CAMPO MOURAO;18/01/1966;1200;0;;18.7;;;;;
CAMPO MOURAO;19/01/1966;0;;33.1;;7;6.6;25.24;77.75;2
CAMPO MOURAO;19/01/1966;1200;0;;20.3;;;;;
CAMPO MOURAO;20/01/1966;0;;32.5;;4.9;4.8;25.16;71.75;2
CAMPO MOURAO;20/01/1966;1200;0;;20.2;;;;;
CAMPO MOURAO;21/01/1966;0;;35.4;;8.9;4.8;26.92;69;2.666.667
CAMPO MOURAO;21/01/1966;1200;0;;21.4;;;;;
CAMPO MOURAO;22/01/1966;0;;29.7;;2.9;3.5;23.3;89.5;3.333.333
CAMPO MOURAO;22/01/1966;1200;0;;20.6;;;;;
CAMPO MOURAO;23/01/1966;0;;32.1;;11.1;4.3;25;75.5;2.333.333
CAMPO MOURAO;23/01/1966;1200;33.4;;19.4;;;;;
CAMPO MOURAO;24/01/1966;0;;32.7;;5.7;4.9;25.56;79;1
CAMPO MOURAO;24/01/1966;1200;1;;20.9;;;;;
CAMPO MOURAO;25/01/1966;0;;32.3;;5.7;2.9;25.48;75.75;1.666.667
CAMPO MOURAO;25/01/1966;1200;1;;21.6;;;;;
CAMPO MOURAO;26/01/1966;0;;31.8;;6.3;3.7;23.6;84.25;3.333.333
CAMPO MOURAO;26/01/1966;1200;0;;20;;;;;
CAMPO MOURAO;27/01/1966;0;;26.3;;0;4.6;22.74;86;3
CAMPO MOURAO;27/01/1966;1200;39.4;;20.6;;;;;
CAMPO MOURAO;28/01/1966;0;;28.9;;8.3;3.7;24.64;78.75;2.666.667
CAMPO MOURAO;28/01/1966;1200;0;;20.7;;;;;
CAMPO MOURAO;29/01/1966;0;;30.9;;4.9;3.5;25.04;75.25;2
CAMPO MOURAO;29/01/1966;1200;0;;20.3;;;;;
CAMPO MOURAO;30/01/1966;0;;30.1;;5.3;4.3;23.78;76.75;2.666.667
CAMPO MOURAO;30/01/1966;1200;0;;20.1;;;;;
CAMPO MOURAO;31/01/1966;0;;30.6;;5.6;2.9;24.22;83.75;2.333.333
CAMPO MOURAO;31/01/1966;1200;18.4;;20.3;;;;;
CAMPO MOURAO;01/02/1966;0;;32.3;;10.9;4.5;24.92;75.75;1.666.667
CAMPO MOURAO;01/02/1966;1200;0;;20.1;;;;;
CAMPO MOURAO;02/02/1966;0;;34;;9.3;3.3;26.28;71.75;2.333.333
CAMPO MOURAO;02/02/1966;1200;0;;19;;;;;
CAMPO MOURAO;03/02/1966;0;;34.7;;10.5;3.3;27.52;72;3.666.667
CAMPO MOURAO;03/02/1966;1200;0;;20.8;;;;;
CAMPO MOURAO;04/02/1966;0;;33.9;;8.7;3.4;24.48;77.75;3.333.333
CAMPO MOURAO;04/02/1966;1200;0;;21;;;;;
CAMPO MOURAO;05/02/1966;0;;31.3;;10.1;3.6;23.98;74.5;2.333.333
CAMPO MOURAO;05/02/1966;1200;0;;19.6;;;;;
CAMPO MOURAO;06/02/1966;0;;30.6;;6.5;4.3;25.46;71.25;4
CAMPO MOURAO;06/02/1966;1200;0;;19.7;;;;;
CAMPO MOURAO;07/02/1966;0;;32.6;;5.7;3.5;25.58;74.25;2
CAMPO MOURAO;07/02/1966;1200;0;;20.3;;;;;
CAMPO MOURAO;08/02/1966;0;;29.5;;3.1;3.6;24.06;82.75;2.666.667
CAMPO MOURAO;08/02/1966;1200;24;;20.7;;;;;
CAMPO MOURAO;09/02/1966;0;;29.7;;4.6;3.5;24.38;86.5;4.333.333
CAMPO MOURAO;09/02/1966;1200;0;;21.4;;;;;
CAMPO MOURAO;10/02/1966;0;;24.7;;2.8;2.3;21.86;82.5;4.333.333
CAMPO MOURAO;10/02/1966;1200;4.2;;18.4;;;;;
CAMPO MOURAO;11/02/1966;0;;24.3;;;2.8;22.6;98.75;0.666667
CAMPO MOURAO;11/02/1966;1200;3;;21.2;;;;;
CAMPO MOURAO;12/02/1966;0;;29.6;;0;0.4;22.76;90.75;0.333333
CAMPO MOURAO;12/02/1966;1200;51.4;;20.3;;;;;
