Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
CASTRO;01/01/1966;0;;27.2;;;;19.98;84.5;0.333333
CASTRO;01/01/1966;1200;1.1;;16.2;;;;;
CASTRO;02/01/1966;0;;26.8;;;;20.58;83;0.333333
CASTRO;02/01/1966;1200;0;;16.6;;;;;
CASTRO;03/01/1966;0;;27.8;;;;20.14;88.5;0.333333
CASTRO;03/01/1966;1200;4.2;;16.8;;;;;
CASTRO;04/01/1966;0;;28.2;;;;20.66;90;0.666667
CASTRO;04/01/1966;1200;22.1;;17.5;;;;;
CASTRO;05/01/1966;0;;28.4;;;;22;84.25;0.666667
CASTRO;05/01/1966;1200;42.2;;17.7;;;;;
CASTRO;06/01/1966;0;;28.1;;;;21.62;83.25;0.333333
CASTRO;06/01/1966;1200;1.1;;18.3;;;;;
CASTRO;07/01/1966;0;;29.9;;;;23.2;80.25;0.666667
CASTRO;07/01/1966;1200;0;;18.3;;;;;
CASTRO;08/01/1966;0;;27.2;;;;22.52;82.5;0.333333
CASTRO;08/01/1966;1200;20.1;;18.3;;;;;
CASTRO;09/01/1966;0;;27.3;;;;22.74;83.25;0.333333
CASTRO;09/01/1966;1200;4.4;;19.1;;;;;
CASTRO;10/01/1966;0;;26.3;;;;19.96;83.75;1
CASTRO;10/01/1966;1200;0;;17.8;;;;;
CASTRO;11/01/1966;0;;22.8;;;;16.88;91.5;3
CASTRO;11/01/1966;1200;0;;14.5;;;;;
CASTRO;12/01/1966;0;;23.1;;;;16.54;87;2
CASTRO;12/01/1966;1200;0.9;;13.9;;;;;
CASTRO;13/01/1966;0;;22.1;;;;15.74;85.25;1
CASTRO;13/01/1966;1200;0;;11.4;;;;;
CASTRO;14/01/1966;0;;22.4;;;;17.32;85.5;1.333.333
CASTRO;14/01/1966;1200;0;;13.5;;;;;
CASTRO;15/01/1966;0;;25.2;;;;17.28;87.5;1
CASTRO;15/01/1966;1200;0;;11.8;;;;;
