Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
IRATI;24/09/1966;0;;22.4;;8.6;;11.62;61.75;1
IRATI;24/09/1966;1200;;;1.1;;;;;
IRATI;25/09/1966;0;;25.8;;8.9;2.9;16.54;66.75;2
IRATI;25/09/1966;1200;0;;6.2;;;;;
IRATI;26/09/1966;0;;27.1;;7.6;4.4;17.46;64.5;3
IRATI;26/09/1966;1200;0;;12.6;;;;;
IRATI;27/09/1966;0;;15.2;;0;3.8;9.84;88.75;4.666.667
IRATI;27/09/1966;1200;0;;0.4;;;;;
IRATI;28/09/1966;0;;14.5;;0.4;0.8;12.16;86.25;5.666.667
IRATI;28/09/1966;1200;1.7;;9.3;;;;;
IRATI;29/09/1966;0;;20.1;;2.3;1.3;14.5;86.75;3.666.667
IRATI;29/09/1966;1200;0;;10.1;;;;;
IRATI;30/09/1966;0;;27.2;;9.4;1.8;19.52;62;3.333.333
IRATI;30/09/1966;1200;0;;12.6;;;;;
IRATI;01/10/1966;0;;29;;3.2;4.8;19.82;63.75;2
IRATI;01/10/1966;1200;0;;12.5;;;;;
IRATI;02/10/1966;0;;29.1;;6.3;3.5;21.22;69.25;3
IRATI;02/10/1966;1200;0;;14.2;;;;;
IRATI;03/10/1966;0;;20.4;;0;3.3;16.96;96;4.333.333
IRATI;03/10/1966;1200;0;;14.8;;;;;
IRATI;04/10/1966;0;;17;;0;0.2;14.64;84.75;8
IRATI;04/10/1966;1200;16.6;;13.2;;;;;
IRATI;05/10/1966;0;;16;;0;1;12.52;93.5;5
IRATI;05/10/1966;1200;0.1;;9.4;;;;;
IRATI;06/10/1966;0;;14;;0;0.5;12.88;97.25;2.333.333
IRATI;06/10/1966;1200;5.1;;11.2;;;;;
IRATI;07/10/1966;0;;14.2;;0;0.3;13.48;93.5;1.733.333
IRATI;07/10/1966;1200;27.6;;12;;;;;
IRATI;08/10/1966;0;;20;;0.4;;16.12;93;0
IRATI;08/10/1966;1200;61.2;;12.8;;;;;
IRATI;09/10/1966;0;;25.4;;6.2;0.2;19;68.75;0.333333
IRATI;09/10/1966;1200;0;;12.8;;;;;
IRATI;10/10/1966;0;;20.5;;6.2;2.5;16.16;76.25;0.333333
IRATI;10/10/1966;1200;0.6;;10.3;;;;;
