Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
IVAI;01/01/1966;0;;27.8;;;;21.5;86;2.666.667
IVAI;01/01/1966;1200;6.2;;16;;;;;
IVAI;02/01/1966;0;;27.8;;;;22.06;85.5;3
IVAI;02/01/1966;1200;0;;17.8;;;;;
IVAI;03/01/1966;0;;30;;;;21.54;85.75;2.666.667
IVAI;03/01/1966;1200;0;;16.4;;;;;
IVAI;04/01/1966;0;;28.5;;;;21.36;88;3.666.667
IVAI;04/01/1966;1200;0;;16.4;;;;;
IVAI;05/01/1966;0;;29.2;;;;23.38;79;3.666.667
IVAI;05/01/1966;1200;0;;17.8;;;;;
IVAI;06/01/1966;0;;29.4;;;;22.98;82.25;3
IVAI;06/01/1966;1200;0;;17.9;;;;;
IVAI;07/01/1966;0;;30.6;;;;22.7;82.25;3.666.667
IVAI;07/01/1966;1200;0;;17.6;;;;;
IVAI;08/01/1966;0;;27.8;;;;22.38;88.5;3.666.667
IVAI;08/01/1966;1200;0;;18.4;;;;;
IVAI;09/01/1966;0;;27.7;;;;22.38;84;3.666.667
IVAI;09/01/1966;1200;0;;18.1;;;;;
IVAI;10/01/1966;0;;28.7;;;;21.68;80.25;5
IVAI;10/01/1966;1200;0;;16.6;;;;;
IVAI;11/01/1966;0;;22.9;;;;18.68;83;6.333.333
IVAI;11/01/1966;1200;0;;15.6;;;;;
IVAI;12/01/1966;0;;26;;;;19.54;77.75;5.666.667
IVAI;12/01/1966;1200;0;;14.8;;;;;
IVAI;13/01/1966;0;;24;;;;17.54;79;6.333.333
IVAI;13/01/1966;1200;0;;11.4;;;;;
IVAI;14/01/1966;0;;25.2;;;;18.02;82.25;5
IVAI;14/01/1966;1200;0;;11.5;;;;;
IVAI;15/01/1966;0;;28.7;;;;19.9;78.5;3
IVAI;15/01/1966;1200;0;;13.4;;;;;
IVAI;16/01/1966;0;;29.8;;;;20.14;79.25;3
IVAI;16/01/1966;1200;0;;12.8;;;;;
IVAI;17/01/1966;0;;31.8;;;;22.32;81;3.333.333
IVAI;17/01/1966;1200;0;;13.5;;;;;
IVAI;18/01/1966;0;;30.8;;;;22.7;81.25;2.666.667
IVAI;18/01/1966;1200;1;;16.8;;;;;
IVAI;19/01/1966;0;;28.4;;;;22.22;88.75;2.666.667
IVAI;19/01/1966;1200;11;;16.6;;;;;
IVAI;20/01/1966;0;;28.8;;;;22.56;86.25;3.333.333
IVAI;20/01/1966;1200;2;;15.9;;;;;
IVAI;21/01/1966;0;;32.2;;;;24.28;79.75;3.333.333
IVAI;21/01/1966;1200;0;;18;;;;;
IVAI;22/01/1966;0;;31.3;;;;22.04;81.75;3.333.333
IVAI;22/01/1966;1200;1;;16.9;;;;;
IVAI;23/01/1966;0;;30.8;;;;22.2;80.25;3.333.333
IVAI;23/01/1966;1200;0;;17.3;;;;;
IVAI;24/01/1966;0;;31.6;;;;23.58;88.25;3.333.333
IVAI;24/01/1966;1200;1.3;;18.4;;;;;
IVAI;25/01/1966;0;;31.6;;;;23.04;82.75;3.666.667
IVAI;25/01/1966;1200;0;;19.5;;;;;
IVAI;26/01/1966;0;;28.6;;;;21.4;87.5;3
IVAI;26/01/1966;1200;0;;17.8;;;;;
IVAI;27/01/1966;0;;24.1;;;;19.96;85.5;3
IVAI;27/01/1966;1200;5.4;;16.5;;;;;
IVAI;28/01/1966;0;;28.2;;;;22.04;86.25;3.666.667
IVAI;28/01/1966;1200;0;;17.4;;;;;
IVAI;29/01/1966;0;;30;;;;22.34;88.5;3.666.667
IVAI;29/01/1966;1200;0;;16.9;;;;;
IVAI;30/01/1966;0;;27.8;;;;22.08;95.25;3
IVAI;30/01/1966;1200;20;;16.8;;;;;
IVAI;31/01/1966;0;;28.5;;;;22.06;87;3
IVAI;31/01/1966;1200;31.2;;16.7;;;;;
IVAI;01/02/1966;0;;30.1;;;;22.62;84.25;3
IVAI;01/02/1966;1200;0;;17.3;;;;;
IVAI;02/02/1966;0;;32.3;;;;24.22;77.5;2.333.333
IVAI;02/02/1966;1200;0;;18.3;;;;;
IVAI;03/02/1966;0;;33.2;;;;24.78;69.75;4.333.333
IVAI;03/02/1966;1200;0;;17.4;;;;;
IVAI;04/02/1966;0;;31.4;;;;22.38;88;3
IVAI;04/02/1966;1200;0;;18.2;;;;;
IVAI;05/02/1966;0;;30.8;;;;22.54;81;3.333.333
IVAI;05/02/1966;1200;1;;16;;;;;
IVAI;06/02/1966;0;;28.2;;;;22.54;82.75;3.666.667
IVAI;06/02/1966;1200;0;;17.5;;;;;
IVAI;07/02/1966;0;;26.4;;;;22.5;90;3
IVAI;07/02/1966;1200;1.8;;19.7;;;;;
IVAI;08/02/1966;0;;27.6;;;;22.78;89.75;3
IVAI;08/02/1966;1200;1.2;;18.8;;;;;
IVAI;09/02/1966;0;;26.7;;;;20.26;92;4.333.333
IVAI;09/02/1966;1200;0;;17.4;;;;;
IVAI;10/02/1966;0;;23.9;;;;19.94;85;5.666.667
IVAI;10/02/1966;1200;6.7;;15.4;;;;;
IVAI;11/02/1966;0;;24.8;;;;21.14;96.5;3.333.333
IVAI;11/02/1966;1200;4.8;;16.1;;;;;
IVAI;12/02/1966;0;;26.2;;;;21.58;91;2.333.333
IVAI;12/02/1966;1200;13.9;;18.1;;;;;
IVAI;13/02/1966;0;;26.8;;;;21.28;91.25;2.666.667
IVAI;13/02/1966;1200;32;;18.6;;;;;
IVAI;14/02/1966;0;;26.7;;;;21.76;87;3
IVAI;14/02/1966;1200;9.2;;17.9;;;;;
IVAI;15/02/1966;0;;29;;;;21.62;89.25;2.666.667
IVAI;15/02/1966;1200;4.7;;18.2;;;;;
IVAI;16/02/1966;0;;24.7;;;;21.44;89.75;2.333.333
IVAI;16/02/1966;1200;16.7;;18.1;;;;;
IVAI;17/02/1966;0;;29.3;;;;22.42;78.5;3.333.333
IVAI;17/02/1966;1200;2.4;;16.6;;;;;
IVAI;18/02/1966;0;;30;;;;22.74;82.25;3
IVAI;18/02/1966;1200;4.2;;16.1;;;;;
IVAI;19/02/1966;0;;29.8;;;;22.64;77.5;3.666.667
IVAI;19/02/1966;1200;3;;17.8;;;;;
IVAI;20/02/1966;0;;29.2;;;;22.02;78;2.333.333
IVAI;20/02/1966;1200;2.6;;15.4;;;;;
IVAI;21/02/1966;0;;28.4;;;;21.34;86.25;2
IVAI;21/02/1966;1200;0;;17.9;;;;;
IVAI;22/02/1966;0;;28.6;;;;21.88;86.5;3.333.333
IVAI;22/02/1966;1200;8.7;;16.3;;;;;
IVAI;23/02/1966;0;;30.1;;;;23.34;77;2.666.667
IVAI;23/02/1966;1200;0;;17.8;;;;;
IVAI;24/02/1966;0;;29.6;;;;22.6;84;4.333.333
IVAI;24/02/1966;1200;0;;18.1;;;;;
IVAI;25/02/1966;0;;30.1;;;;22.32;80;3.333.333
IVAI;25/02/1966;1200;1;;15.5;;;;;
IVAI;26/02/1966;0;;26.3;;;;20.16;85.5;3.666.667
IVAI;26/02/1966;1200;0;;17.4;;;;;
IVAI;27/02/1966;0;;30.1;;;;21.3;75.75;2.666.667
IVAI;27/02/1966;1200;17.9;;14.3;;;;;
IVAI;28/02/1966;0;;30.4;;;;22.82;76.25;4.333.333
IVAI;28/02/1966;1200;0;;16.1;;;;;
IVAI;01/03/1966;0;;31.2;;;;22.5;82.25;3.666.667
IVAI;01/03/1966;1200;0;;18;;;;;
IVAI;02/03/1966;0;;29;;;;21.52;90;3.666.667
IVAI;02/03/1966;1200;2;;17.2;;;;;
IVAI;03/03/1966;0;;30.4;;;;21.64;84;3.333.333
IVAI;03/03/1966;1200;24.4;;15.9;;;;;
IVAI;04/03/1966;0;;28.6;;;;22.32;85.5;3
IVAI;04/03/1966;1200;1;;17.1;;;;;
IVAI;05/03/1966;0;;25.4;;;;20.56;94;3
IVAI;05/03/1966;1200;0;;17.7;;;;;
IVAI;06/03/1966;0;;22.4;;;;16.62;71.75;5
IVAI;06/03/1966;1200;2.3;;11;;;;;
IVAI;07/03/1966;0;;25;;;;17.44;74;5.666.667
IVAI;07/03/1966;1200;0;;11.6;;;;;
IVAI;08/03/1966;0;;23.4;;;;17.66;82.5;5.666.667
IVAI;08/03/1966;1200;0;;13.5;;;;;
IVAI;09/03/1966;0;;22.4;;;;16.64;85.5;4.333.333
IVAI;09/03/1966;1200;0;;12.5;;;;;
IVAI;10/03/1966;0;;26.8;;;;17.02;84.5;2.666.667
IVAI;10/03/1966;1200;0;;8.8;;;;;
IVAI;11/03/1966;0;;27.8;;;;18.24;79.25;2.333.333
IVAI;11/03/1966;1200;0;;11;;;;;
IVAI;12/03/1966;0;;28.8;;;;19.16;81;2.333.333
IVAI;12/03/1966;1200;0;;12.2;;;;;
IVAI;13/03/1966;0;;29.9;;;;20.44;78.75;2.333.333
IVAI;13/03/1966;1200;0;;13;;;;;
IVAI;14/03/1966;0;;30.9;;;;22.48;82.5;2.333.333
IVAI;14/03/1966;1200;0;;14.2;;;;;
IVAI;15/03/1966;0;;32.2;;;;23;76.5;2.666.667
IVAI;15/03/1966;1200;0;;15.6;;;;;
IVAI;16/03/1966;0;;31.8;;;;23.48;77.5;2.666.667
IVAI;16/03/1966;1200;0;;16.2;;;;;
IVAI;17/03/1966;0;;31;;;;23.22;78;3.666.667
IVAI;17/03/1966;1200;0;;18.8;;;;;
IVAI;18/03/1966;0;;30.2;;;;22.08;75.75;2.666.667
IVAI;18/03/1966;1200;0;;16.3;;;;;
IVAI;19/03/1966;0;;31.4;;;;22.14;76.5;2.333.333
IVAI;19/03/1966;1200;0;;15.8;;;;;
IVAI;20/03/1966;0;;30.7;;;;21.06;68.75;3
IVAI;20/03/1966;1200;0;;14.2;;;;;
IVAI;21/03/1966;0;;29.4;;;;22.24;78;3
IVAI;21/03/1966;1200;0;;17.1;;;;;
IVAI;22/03/1966;0;;27.7;;;;21.72;88.5;3
IVAI;22/03/1966;1200;8;;17.6;;;;;
IVAI;23/03/1966;0;;27.8;;;;21.32;90.75;3.666.667
IVAI;23/03/1966;1200;4.2;;17.6;;;;;
IVAI;24/03/1966;0;;28.5;;;;21.44;87;3
IVAI;24/03/1966;1200;5;;15.7;;;;;
IVAI;25/03/1966;0;;25.7;;;;19.6;92.25;3
IVAI;25/03/1966;1200;5.2;;16.8;;;;;
IVAI;26/03/1966;0;;24.2;;;;19.62;82.75;5.666.667
IVAI;26/03/1966;1200;16.8;;15.8;;;;;
IVAI;27/03/1966;0;;20.4;;;;16.96;84.75;5
IVAI;27/03/1966;1200;0;;12.9;;;;;
IVAI;28/03/1966;0;;24.6;;;;19.32;86.5;5.666.667
IVAI;28/03/1966;1200;0;;15.1;;;;;
IVAI;29/03/1966;0;;24.8;;;;19.68;75.5;5
IVAI;29/03/1966;1200;0;;15;;;;;
IVAI;30/03/1966;0;;28.4;;;;20;81;3
IVAI;30/03/1966;1200;0;;13.5;;;;;
IVAI;31/03/1966;0;;28.1;;;;19.72;93.5;3
IVAI;31/03/1966;1200;0;;15.3;;;;;
IVAI;01/04/1966;0;;27.8;;;;22.12;84.25;2.333.333
IVAI;01/04/1966;1200;17;;16.4;;;;;
IVAI;02/04/1966;0;;27.5;;;;19.88;90.75;2.666.667
IVAI;02/04/1966;1200;4.8;;17.2;;;;;
IVAI;03/04/1966;0;;25;;;;19.1;83.25;3
IVAI;03/04/1966;1200;4.6;;14.6;;;;;
IVAI;04/04/1966;0;;22.6;;;;18.3;74.25;5
IVAI;04/04/1966;1200;0;;14.2;;;;;
IVAI;05/04/1966;0;;19.6;;;;16.76;85;3.666.667
IVAI;05/04/1966;1200;0;;13.9;;;;;
IVAI;06/04/1966;0;;19.4;;;;16.7;91.25;5
IVAI;06/04/1966;1200;12;;14.5;;;;;
IVAI;07/04/1966;0;;21.6;;;;17.54;91;3.666.667
IVAI;07/04/1966;1200;3;;14.9;;;;;
IVAI;08/04/1966;0;;22.6;;;;18.02;77.75;5
IVAI;08/04/1966;1200;0;;13.2;;;;;
IVAI;09/04/1966;0;;22.8;;;;16.74;83.25;3.666.667
IVAI;09/04/1966;1200;0;;11.2;;;;;
IVAI;10/04/1966;0;;22.6;;;;16.28;81.5;3
IVAI;10/04/1966;1200;0;;13.7;;;;;
IVAI;11/04/1966;0;;21.7;;;;16.46;86.75;3
IVAI;11/04/1966;1200;0;;12.4;;;;;
IVAI;12/04/1966;0;;23.4;;;;17.28;82.25;3.666.667
IVAI;12/04/1966;1200;0;;13.1;;;;;
IVAI;13/04/1966;0;;24.8;;;;15.9;82.75;3.666.667
IVAI;13/04/1966;1200;0;;9;;;;;
IVAI;14/04/1966;0;;25.8;;;;17.9;77.5;4.333.333
IVAI;14/04/1966;1200;0;;9.1;;;;;
IVAI;15/04/1966;0;;27.3;;;;17.64;80;3.666.667
IVAI;15/04/1966;1200;1.2;;9.4;;;;;
IVAI;16/04/1966;0;;27.4;;;;18.94;78.5;2.666.667
IVAI;16/04/1966;1200;0;;11.8;;;;;
IVAI;17/04/1966;0;;29.2;;;;20.42;84;2.333.333
IVAI;17/04/1966;1200;0;;13.4;;;;;
IVAI;18/04/1966;0;;29.8;;;;20.76;78.5;3.333.333
IVAI;18/04/1966;1200;0;;13.7;;;;;
IVAI;19/04/1966;0;;29;;;;20.08;81.25;3.666.667
IVAI;19/04/1966;1200;0;;13.2;;;;;
IVAI;20/04/1966;0;;27.8;;;;20.48;75.5;3.333.333
IVAI;20/04/1966;1200;0;;16;;;;;
IVAI;21/04/1966;0;;24.1;;;;18.38;79.5;5
IVAI;21/04/1966;1200;0;;14.6;;;;;
IVAI;22/04/1966;0;;25.2;;;;19;80.5;3.666.667
IVAI;22/04/1966;1200;0;;14.6;;;;;
IVAI;23/04/1966;0;;27.6;;;;18.46;78.25;2.666.667
IVAI;23/04/1966;1200;0;;11.8;;;;;
IVAI;24/04/1966;0;;24.2;;;;17.52;84;3
IVAI;24/04/1966;1200;0.6;;13.1;;;;;
IVAI;25/04/1966;0;;20.2;;;;15.74;92;3.666.667
IVAI;25/04/1966;1200;37;;12.9;;;;;
IVAI;26/04/1966;0;;20.8;;;;16.46;87.5;3.666.667
IVAI;26/04/1966;1200;1.3;;11.9;;;;;
IVAI;27/04/1966;0;;24;;;;18.42;80.25;4.333.333
IVAI;27/04/1966;1200;0;;14.1;;;;;
IVAI;28/04/1966;0;;25.1;;;;18.12;85;3.666.667
IVAI;28/04/1966;1200;0;;12.4;;;;;
IVAI;29/04/1966;0;;26.3;;;;17.96;80.25;2.666.667
IVAI;29/04/1966;1200;0;;12.6;;;;;
IVAI;30/04/1966;0;;27.2;;;;18.32;80.25;3
IVAI;30/04/1966;1200;0;;11.9;;;;;
IVAI;01/05/1966;0;;26.1;;;;18.82;82.75;2.666.667
IVAI;01/05/1966;1200;0;;14.2;;;;;
IVAI;02/05/1966;0;;27.8;;;;19.74;80.75;2.333.333
IVAI;02/05/1966;1200;0;;12.9;;;;;
IVAI;03/05/1966;0;;26.8;;;;19.64;88.25;3.666.667
IVAI;03/05/1966;1200;0;;14.9;;;;;
IVAI;04/05/1966;0;;26.6;;;;19.82;81.5;3
IVAI;04/05/1966;1200;4.4;;13.7;;;;;
IVAI;05/05/1966;0;;23.9;;;;18.08;91.25;3
IVAI;05/05/1966;1200;0;;15.7;;;;;
IVAI;06/05/1966;0;;23.8;;;;17.9;88.25;3
IVAI;06/05/1966;1200;21.3;;13.7;;;;;
IVAI;07/05/1966;0;;24.2;;;;17.48;88.25;3.333.333
IVAI;07/05/1966;1200;2.2;;13.6;;;;;
IVAI;08/05/1966;0;;23.6;;;;17.64;84.75;2.333.333
IVAI;08/05/1966;1200;0;;10;;;;;
IVAI;09/05/1966;0;;24.6;;;;17.94;80.75;2.666.667
IVAI;09/05/1966;1200;0;;13;;;;;
IVAI;10/05/1966;0;;23.8;;;;16.12;85;3
IVAI;10/05/1966;1200;0;;9.6;;;;;
IVAI;11/05/1966;0;;25.2;;;;18;83.5;4.333.333
IVAI;11/05/1966;1200;0;;13.8;;;;;
IVAI;12/05/1966;0;;18.3;;;;15.98;95.25;3
IVAI;12/05/1966;1200;22;;14.1;;;;;
IVAI;13/05/1966;0;;24.4;;;;17.36;86;3
IVAI;13/05/1966;1200;0;;12.5;;;;;
IVAI;14/05/1966;0;;21.5;;;;15.9;88.75;3.666.667
IVAI;14/05/1966;1200;0;;12.9;;;;;
IVAI;15/05/1966;0;;21.7;;;;14.46;86.75;3
IVAI;15/05/1966;1200;0;;10.2;;;;;
IVAI;16/05/1966;0;;21.4;;;;11.36;86.75;3.666.667
IVAI;16/05/1966;1200;0;;3.7;;;;;
IVAI;17/05/1966;0;;22.2;;;;11.66;82.25;3.666.667
IVAI;17/05/1966;1200;0;;3.3;;;;;
