Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
LONDRINA;01/01/1966;0;;28.4;;5.5;0.5;22.52;85.5;2
LONDRINA;01/01/1966;1200;26;;18.3;;;;;
LONDRINA;02/01/1966;0;;29.6;;5.7;3.7;24.18;81.75;1.333.333
LONDRINA;02/01/1966;1200;0.2;;20.3;;;;;
LONDRINA;03/01/1966;0;;28.2;;2.5;0.4;23.4;88.5;0.666667
LONDRINA;03/01/1966;1200;0.5;;21;;;;;
LONDRINA;04/01/1966;0;;30;;5.9;0.3;24.4;84.5;1.333.333
LONDRINA;04/01/1966;1200;0;;20.4;;;;;
LONDRINA;05/01/1966;0;;31.4;;9.4;1.6;25.12;76.75;2
LONDRINA;05/01/1966;1200;0;;19.2;;;;;
LONDRINA;06/01/1966;0;;32;;11.3;2.6;25.62;73;2.666.667
LONDRINA;06/01/1966;1200;0;;19.6;;;;;
LONDRINA;07/01/1966;0;;30.2;;5.8;2.5;24.62;80.5;3.333.333
LONDRINA;07/01/1966;1200;0;;20.7;;;;;
LONDRINA;08/01/1966;0;;28.2;;5.5;2.2;24.12;86;2
LONDRINA;08/01/1966;1200;0;;20.2;;;;;
LONDRINA;09/01/1966;0;;25.4;;0.4;1.3;22.86;89;1.666.667
LONDRINA;09/01/1966;1200;10.3;;20.6;;;;;
LONDRINA;10/01/1966;0;;29.8;;5.9;0.8;23.04;88;2.333.333
LONDRINA;10/01/1966;1200;0;;20.4;;;;;
LONDRINA;11/01/1966;0;;25.6;;7.6;2.1;21.4;75.75;5
LONDRINA;11/01/1966;1200;5.3;;18.4;;;;;
LONDRINA;12/01/1966;0;;28.4;;10.7;3.3;21.44;77;4.666.667
LONDRINA;12/01/1966;1200;0;;15.9;;;;;
LONDRINA;13/01/1966;0;;28.6;;11.7;3;21.56;68;3
LONDRINA;13/01/1966;1200;5.1;;14.2;;;;;
LONDRINA;14/01/1966;0;;30;;11.6;3.5;22.16;62.75;2.333.333
LONDRINA;14/01/1966;1200;0;;14.4;;;;;
LONDRINA;15/01/1966;0;;29;;9.3;3.3;21.94;75;1
LONDRINA;15/01/1966;1200;0;;16.5;;;;;
LONDRINA;16/01/1966;0;;33.4;;11.9;2.6;24.54;66.5;1.333.333
LONDRINA;16/01/1966;1200;0;;15.9;;;;;
LONDRINA;17/01/1966;0;;33.8;;11;3.8;25.48;65.25;1
LONDRINA;17/01/1966;1200;0;;18.6;;;;;
LONDRINA;18/01/1966;0;;32.4;;8;3.8;26.1;65.25;2
LONDRINA;18/01/1966;1200;0;;20.4;;;;;
LONDRINA;19/01/1966;0;;30;;1.5;3;23.06;90.25;1.666.667
LONDRINA;19/01/1966;1200;3;;19.7;;;;;
LONDRINA;20/01/1966;0;;33;;7.2;0.6;25.56;77;1.333.333
LONDRINA;20/01/1966;1200;15.2;;19.8;;;;;
LONDRINA;21/01/1966;0;;34.6;;9.6;3.3;27.04;66;2.333.333
LONDRINA;21/01/1966;1200;0;;20.5;;;;;
LONDRINA;22/01/1966;0;;32.4;;5.5;3.8;24.8;80.5;4
LONDRINA;22/01/1966;1200;0;;20.8;;;;;
LONDRINA;23/01/1966;0;;32.8;;6.7;1.9;24.86;77.25;1.666.667
LONDRINA;23/01/1966;1200;3.4;;19.4;;;;;
LONDRINA;24/01/1966;0;;34.4;;10.4;2.9;27.54;64.75;4
LONDRINA;24/01/1966;1200;2.9;;20.9;;;;;
LONDRINA;25/01/1966;0;;34.4;;4.8;3.9;25.76;72.25;5
LONDRINA;25/01/1966;1200;0;;21.2;;;;;
LONDRINA;26/01/1966;0;;29.2;;2.7;2.9;24.18;82;4
LONDRINA;26/01/1966;1200;0;;21.3;;;;;
LONDRINA;27/01/1966;0;;26.2;;3.1;2.3;23.14;86;2
LONDRINA;27/01/1966;1200;4.2;;20.7;;;;;
LONDRINA;28/01/1966;0;;30.6;;7.2;1.5;24.36;75.25;2
LONDRINA;28/01/1966;1200;2.1;;19.4;;;;;
LONDRINA;29/01/1966;0;;30.2;;4.7;2.6;23.84;87;2.333.333
LONDRINA;29/01/1966;1200;0;;20.6;;;;;
LONDRINA;30/01/1966;0;;27.2;;2.9;1.3;23.4;88.25;2.333.333
LONDRINA;30/01/1966;1200;34.6;;20.8;;;;;
LONDRINA;31/01/1966;0;;29.1;;2;0.9;23.22;88.75;2
LONDRINA;31/01/1966;1200;20.8;;21;;;;;
LONDRINA;01/02/1966;0;;31.6;;7.8;0.9;25.08;81.5;1
LONDRINA;01/02/1966;1200;35.5;;20.2;;;;;
LONDRINA;02/02/1966;0;;32.6;;11.3;2.1;26.44;73.25;1
LONDRINA;02/02/1966;1200;1;;20.2;;;;;
LONDRINA;03/02/1966;0;;32.8;;11.4;3.1;26.96;69;3
