Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
MARINGA;01/01/1966;0;;28.4;;;;21.94;90.25;3
MARINGA;01/01/1966;1200;47;;18.4;;;;;
MARINGA;02/01/1966;0;;29.2;;;;24.06;78.5;1
MARINGA;02/01/1966;1200;0;;20;;;;;
MARINGA;03/01/1966;0;;29.4;;;;24.42;80.25;3
MARINGA;03/01/1966;1200;0;;20.4;;;;;
MARINGA;04/01/1966;0;;30.4;;;;25.48;77.25;2.333.333
MARINGA;04/01/1966;1200;0;;21;;;;;
MARINGA;05/01/1966;0;;32.3;;;;26.36;68.75;2.333.333
MARINGA;05/01/1966;1200;0;;21.1;;;;;
MARINGA;06/01/1966;0;;33;;;;26.42;66;1.666.667
MARINGA;06/01/1966;1200;0;;21;;;;;
MARINGA;07/01/1966;0;;31.2;;;;24.12;82;5.666.667
MARINGA;07/01/1966;1200;0;;21.1;;;;;
MARINGA;08/01/1966;0;;29;;;;23.5;86.25;2.333.333
MARINGA;08/01/1966;1200;15;;19.1;;;;;
MARINGA;09/01/1966;0;;25.3;;;;22.02;94.5;3
MARINGA;09/01/1966;1200;0;;20;;;;;
MARINGA;10/01/1966;0;;30.3;;;;24.06;74;2.333.333
MARINGA;10/01/1966;1200;4;;20.2;;;;;
MARINGA;11/01/1966;0;;28.2;;;;22.76;76.75;1.666.667
MARINGA;11/01/1966;1200;0;;19.4;;;;;
MARINGA;12/01/1966;0;;29;;;;21.98;72.25;2.333.333
MARINGA;12/01/1966;1200;0;;16.3;;;;;
MARINGA;13/01/1966;0;;28.1;;;;20.88;60.5;4.333.333
MARINGA;13/01/1966;1200;0;;15.2;;;;;
MARINGA;14/01/1966;0;;29.1;;;;21.82;58.75;2.333.333
MARINGA;14/01/1966;1200;0;;14.4;;;;;
MARINGA;15/01/1966;0;;29.3;;;;23.76;61.5;1.666.667
MARINGA;15/01/1966;1200;0;;18.1;;;;;
MARINGA;16/01/1966;0;;33.4;;;;25.64;58.25;2.333.333
MARINGA;16/01/1966;1200;0;;19.3;;;;;
MARINGA;17/01/1966;0;;34.2;;;;25.78;61.75;2.333.333
MARINGA;17/01/1966;1200;0;;21.2;;;;;
MARINGA;18/01/1966;0;;33.4;;;;26.26;62;3.666.667
MARINGA;18/01/1966;1200;0;;21.2;;;;;
MARINGA;19/01/1966;0;;33;;;;24.68;75.75;3.666.667
MARINGA;19/01/1966;1200;8;;20;;;;;
MARINGA;20/01/1966;0;;34;;;;26.06;66.25;3.666.667
MARINGA;20/01/1966;1200;4;;20;;;;;
MARINGA;21/01/1966;0;;35.2;;;;28;54.5;3.666.667
MARINGA;21/01/1966;1200;0;;22;;;;;
MARINGA;22/01/1966;0;;33.3;;;;24.2;87.5;3.666.667
MARINGA;22/01/1966;1200;0;;20.2;;;;;
MARINGA;23/01/1966;0;;33.3;;;;25.82;65.5;4.333.333
MARINGA;23/01/1966;1200;5;;19.3;;;;;
MARINGA;24/01/1966;0;;35.1;;;;27.54;54.75;3.666.667
MARINGA;24/01/1966;1200;0;;21.2;;;;;
MARINGA;25/01/1966;0;;33;;;;26.48;73.75;3
MARINGA;25/01/1966;1200;2;;22.2;;;;;
MARINGA;26/01/1966;0;;33;;;;25.24;76.75;1.666.667
MARINGA;26/01/1966;1200;54.1;;21;;;;;
MARINGA;27/01/1966;0;;27.4;;;;23.76;84.5;3
MARINGA;27/01/1966;1200;19;;20.2;;;;;
MARINGA;28/01/1966;0;;30.2;;;;25.36;70.5;3
MARINGA;28/01/1966;1200;1.2;;20.2;;;;;
MARINGA;29/01/1966;0;;30.4;;;;24.88;74;6.333.333
MARINGA;29/01/1966;1200;0;;21.2;;;;;
MARINGA;30/01/1966;0;;27.4;;;;22.34;92.25;1.666.667
MARINGA;30/01/1966;1200;12;;20;;;;;
MARINGA;31/01/1966;0;;30.3;;;;24.2;79.25;2.333.333
MARINGA;31/01/1966;1200;15;;21;;;;;
MARINGA;01/02/1966;0;;32.1;;;;25.92;71;1.666.667
MARINGA;01/02/1966;1200;0;;20.3;;;;;
MARINGA;02/02/1966;0;;34.3;;;;28.04;57;2.333.333
MARINGA;02/02/1966;1200;0;;22.3;;;;;
MARINGA;03/02/1966;0;;35.2;;;;28.6;53.75;3
MARINGA;03/02/1966;1200;0;;22.4;;;;;
MARINGA;04/02/1966;0;;34;;;;26.32;77.25;6
MARINGA;04/02/1966;1200;0;;23.2;;;;;
MARINGA;05/02/1966;0;;31.3;;;;25.56;75;4.333.333
MARINGA;05/02/1966;1200;25;;22;;;;;
MARINGA;06/02/1966;0;;30.2;;;;24.8;76.75;3
MARINGA;06/02/1966;1200;0;;21.2;;;;;
MARINGA;07/02/1966;0;;30;;;;24.94;79.5;2.333.333
MARINGA;07/02/1966;1200;0;;21.3;;;;;
MARINGA;08/02/1966;0;;30.3;;;;25.14;78;3
MARINGA;08/02/1966;1200;0;;22;;;;;
MARINGA;09/02/1966;0;;30.2;;;;24.8;79.25;2.333.333
MARINGA;09/02/1966;1200;0;;22;;;;;
MARINGA;10/02/1966;0;;29;;;;23.3;83.75;3.666.667
MARINGA;10/02/1966;1200;6;;19.4;;;;;
MARINGA;11/02/1966;0;;30.3;;;;24.02;88;3.666.667
MARINGA;11/02/1966;1200;32.4;;21;;;;;
MARINGA;12/02/1966;0;;30;;;;23.16;83.5;2.333.333
MARINGA;12/02/1966;1200;15.1;;20.1;;;;;
MARINGA;13/02/1966;0;;30.2;;;;24.48;78.25;5.666.667
MARINGA;13/02/1966;1200;1;;21;;;;;
MARINGA;14/02/1966;0;;30.4;;;;24.72;73.25;2.333.333
MARINGA;14/02/1966;1200;2;;20.2;;;;;
MARINGA;15/02/1966;0;;32.1;;;;24.92;75.25;2
MARINGA;15/02/1966;1200;0;;21.4;;;;;
