Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
PARANAGUA;01/01/1966;0;;28.7;;9;1.5;24.72;84.5;1
PARANAGUA;01/01/1966;1200;0;;20.3;;;;;
PARANAGUA;02/01/1966;0;;29.3;;7.1;2.2;24.98;85.5;1.666.667
PARANAGUA;02/01/1966;1200;0;;21.2;;;;;
PARANAGUA;03/01/1966;0;;30.7;;7.9;2.6;26.02;85;2.333.333
PARANAGUA;03/01/1966;1200;0;;21.4;;;;;
PARANAGUA;04/01/1966;0;;30.3;;4.8;2.6;26.26;88.25;0.666667
PARANAGUA;04/01/1966;1200;0;;23;;;;;
PARANAGUA;05/01/1966;0;;28.1;;1.7;2.3;25;88.25;1.333.333
PARANAGUA;05/01/1966;1200;1;;21.6;;;;;
PARANAGUA;06/01/1966;0;;30.8;;12.3;1.9;26.5;82.5;2
PARANAGUA;06/01/1966;1200;5.7;;21.9;;;;;
PARANAGUA;07/01/1966;0;;31.3;;8.3;3;27.02;82.75;2
PARANAGUA;07/01/1966;1200;0;;22.7;;;;;
PARANAGUA;08/01/1966;0;;31.5;;3.6;3;26.86;91.5;0
PARANAGUA;08/01/1966;1200;0;;23.4;;;;;
PARANAGUA;09/01/1966;0;;31.7;;7.4;1.4;26.5;88;1.666.667
PARANAGUA;09/01/1966;1200;6.3;;23.3;;;;;
PARANAGUA;10/01/1966;0;;27.7;;1.5;2.4;23.88;81;2
PARANAGUA;10/01/1966;1200;11.8;;21.4;;;;;
PARANAGUA;11/01/1966;0;;24.3;;0;3.3;21.34;89.25;0.333333
PARANAGUA;11/01/1966;1200;1.4;;19.2;;;;;
PARANAGUA;12/01/1966;0;;25.3;;1.8;2;21.3;90;1.333.333
PARANAGUA;12/01/1966;1200;1;;19;;;;;
PARANAGUA;13/01/1966;0;;26.8;;5.2;2;21.72;86;2.333.333
PARANAGUA;13/01/1966;1200;6.4;;17.9;;;;;
PARANAGUA;14/01/1966;0;;27.3;;1.6;2.5;22.04;89.75;2.666.667
PARANAGUA;14/01/1966;1200;11.7;;18.8;;;;;
PARANAGUA;15/01/1966;0;;28.4;;3.6;1.5;23.76;87.25;1
PARANAGUA;15/01/1966;1200;3.9;;19.9;;;;;
PARANAGUA;16/01/1966;0;;30.1;;9.9;1.8;24.54;85.75;1.666.667
PARANAGUA;16/01/1966;1200;5.8;;20.9;;;;;
PARANAGUA;17/01/1966;0;;31.1;;7.2;2.2;25.98;88.25;2
PARANAGUA;17/01/1966;1200;12.7;;20.4;;;;;
PARANAGUA;18/01/1966;0;;32.7;;7.8;2.3;26.78;82;2.333.333
PARANAGUA;18/01/1966;1200;0;;22.4;;;;;
PARANAGUA;19/01/1966;0;;33;;3.7;2.8;26.18;82.5;1.333.333
PARANAGUA;19/01/1966;1200;3.4;;21.8;;;;;
PARANAGUA;20/01/1966;0;;33.1;;8.3;2.3;26.76;83.25;1.333.333
PARANAGUA;20/01/1966;1200;0.4;;22.4;;;;;
PARANAGUA;21/01/1966;0;;33.7;;10.5;2.9;28.42;81.25;1.333.333
PARANAGUA;21/01/1966;1200;0;;23.6;;;;;
PARANAGUA;22/01/1966;0;;32.5;;5.2;3.3;28.02;85;0
PARANAGUA;22/01/1966;1200;0;;24.8;;;;;
PARANAGUA;23/01/1966;0;;32.9;;7.4;2.2;26.06;87;2.333.333
PARANAGUA;23/01/1966;1200;0;;21.1;;;;;
